iter	Passed	Remaining
0	106	106156
1	107	53744
2	108	36176
3	110	27399
4	111	22176
5	112	18644
6	113	16123
7	114	14244
8	115	12746
9	116	11549
10	117	10573
11	118	9766
12	119	9107
13	121	8533
14	122	8040
15	123	7605
16	124	7226
17	125	6866
18	127	6563
19	128	6294
20	129	6052
21	130	5814
22	131	5596
23	133	5415
24	134	5243
25	135	5085
26	136	4936
27	138	4797
28	139	4667
29	140	4546
30	141	4433
31	143	4325
32	144	4222
33	145	4135
34	147	4055
35	148	3967
36	149	3890
37	150	3817
38	152	3749
39	152	3670
40	153	3601
41	155	3538
42	156	3479
43	157	3422
44	158	3361
45	159	3302
46	160	3256
47	161	3207
48	162	3161
49	164	3134
50	167	3112
51	169	3082
52	170	3052
53	172	3020
54	174	2992
55	176	2967
56	177	2939
57	179	2914
58	181	2891
59	183	2873
60	185	2849
61	186	2828
62	188	2804
63	190	2789
64	192	2771
65	194	2753
66	196	2741
67	197	2708
68	199	2693
69	202	2686
70	204	2670
71	206	2665
72	208	2651
73	210	2633
74	212	2620
75	214	2606
76	216	2598
77	218	2585
78	220	2572
79	223	2568
80	225	2555
81	226	2538
82	228	2525
83	231	2520
84	232	2501
85	234	2492
86	236	2477
87	238	2468
88	240	2460
89	242	2450
90	244	2445
91	247	2441
92	250	2439
93	253	2441
94	255	2436
95	258	2430
96	260	2424
97	262	2418
98	264	2408
99	266	2400
100	268	2391
101	269	2372
102	271	2366
103	273	2354
104	275	2344
105	277	2336
106	279	2331
107	281	2325
108	283	2319
109	285	2308
110	287	2304
111	289	2298
112	291	2291
113	293	2284
114	295	2274
115	296	2262
116	299	2258
117	301	2256
118	303	2248
119	305	2242
120	308	2239
121	310	2234
122	311	2219
123	313	2211
124	315	2207
125	317	2202
126	319	2195
127	320	2185
128	322	2179
129	324	2173
130	326	2166
131	328	2159
132	329	2149
133	331	2142
134	333	2134
135	335	2130
136	337	2124
137	338	2116
138	340	2110
139	342	2106
140	344	2098
141	346	2091
142	347	2083
143	349	2078
144	352	2075
145	354	2071
146	356	2065
147	357	2059
148	359	2052
149	360	2045
150	362	2036
151	363	2030
152	365	2025
153	367	2016
154	368	2010
155	369	2001
156	371	1995
157	373	1990
158	375	1983
159	376	1977
160	378	1972
161	379	1965
162	381	1957
163	382	1950
164	383	1942
165	385	1936
166	387	1931
167	388	1924
168	389	1915
169	390	1905
170	391	1896
171	392	1888
172	393	1881
173	394	1874
174	396	1867
175	397	1860
176	399	1855
177	400	1849
178	401	1843
179	403	1836
180	403	1826
181	405	1822
182	406	1815
183	407	1808
184	409	1803
185	410	1798
186	412	1791
187	413	1783
188	414	1777
189	415	1770
190	416	1763
191	417	1757
192	418	1751
193	420	1745
194	421	1739
195	422	1732
196	423	1726
197	424	1719
198	425	1714
199	427	1709
200	428	1705
201	429	1697
202	431	1692
203	432	1686
204	433	1680
205	434	1676
206	435	1669
207	437	1665
208	438	1658
209	439	1652
210	440	1646
211	441	1640
212	442	1634
213	443	1628
214	444	1623
215	445	1617
216	446	1611
217	447	1605
218	448	1599
219	449	1594
220	450	1587
221	451	1582
222	452	1577
223	454	1573
224	455	1569
225	456	1563
226	457	1558
227	458	1553
228	460	1548
229	461	1545
230	462	1540
231	464	1538
232	466	1534
233	467	1530
234	469	1526
235	470	1522
236	471	1519
237	473	1514
238	474	1510
239	475	1505
240	476	1500
241	477	1496
242	478	1491
243	479	1486
244	481	1482
245	482	1479
246	484	1476
247	485	1472
248	486	1467
249	487	1462
250	488	1457
251	489	1453
252	490	1449
253	491	1444
254	493	1440
255	494	1435
256	495	1432
257	496	1429
258	498	1426
259	500	1423
260	501	1419
261	502	1416
262	504	1413
263	506	1410
264	507	1407
265	508	1403
266	510	1400
267	511	1396
268	512	1393
269	514	1389
270	515	1386
271	517	1384
272	518	1381
273	520	1379
274	521	1375
275	523	1372
276	525	1371
277	526	1367
278	527	1364
279	529	1361
280	530	1357
281	531	1353
282	533	1350
283	534	1346
284	535	1343
285	536	1340
286	538	1337
287	539	1334
288	541	1331
289	542	1328
290	543	1325
291	545	1322
292	547	1319
293	548	1317
294	550	1314
295	551	1311
296	552	1308
297	553	1304
298	555	1302
299	556	1298
300	557	1295
301	559	1293
302	561	1291
303	562	1288
304	564	1286
305	565	1282
306	567	1280
307	568	1277
308	569	1273
309	571	1271
310	572	1268
311	574	1266
312	575	1263
313	576	1260
314	578	1257
315	579	1254
316	581	1252
317	582	1249
318	583	1246
319	585	1244
320	586	1241
321	588	1238
322	589	1235
323	590	1232
324	591	1229
325	593	1226
326	594	1224
327	596	1221
328	597	1218
329	598	1215
330	600	1213
331	601	1211
332	603	1208
333	604	1205
334	606	1202
335	607	1199
336	608	1197
337	610	1195
338	611	1192
339	612	1189
340	614	1187
341	615	1184
342	617	1182
343	618	1179
344	619	1176
345	620	1173
346	622	1171
347	623	1169
348	625	1166
349	627	1164
