iter	Passed	Remaining
0	140	140005
1	143	71431
2	146	48533
3	149	37174
4	152	30302
5	154	25663
6	157	22354
7	159	19825
8	162	17872
9	164	16318
10	167	15091
11	170	14046
12	174	13214
13	177	12495
14	179	11800
15	182	11237
16	185	10724
17	187	10234
18	189	9800
19	191	9407
20	194	9067
21	197	8776
22	199	8492
23	202	8224
24	204	7976
25	206	7744
26	209	7543
27	212	7362
28	215	7204
29	218	7064
30	221	6910
31	223	6766
32	225	6618
33	228	6480
34	230	6365
35	233	6255
36	236	6143
37	238	6032
38	240	5922
39	242	5813
40	244	5716
41	246	5624
42	248	5529
43	250	5439
44	252	5357
45	254	5282
46	256	5205
47	258	5133
48	260	5065
49	263	5003
50	265	4937
51	266	4866
52	268	4805
53	270	4746
54	273	4692
55	275	4642
56	277	4592
57	280	4549
58	282	4502
59	284	4454
60	286	4404
61	287	4356
62	289	4307
63	291	4265
64	293	4226
65	295	4185
66	297	4140
67	299	4102
68	301	4061
69	303	4030
70	305	3999
71	307	3968
72	310	3939
73	312	3906
74	314	3872
75	316	3850
76	318	3814
77	319	3780
78	321	3747
79	323	3723
80	325	3694
81	327	3666
82	328	3626
83	330	3603
84	332	3578
85	334	3552
86	336	3532
87	338	3508
88	339	3479
89	341	3452
90	343	3432
91	345	3408
92	347	3385
93	348	3362
94	350	3339
95	352	3315
96	354	3296
97	356	3280
98	358	3263
99	360	3245
100	362	3227
101	364	3208
102	366	3192
103	368	3176
104	370	3157
105	372	3138
106	373	3121
107	375	3101
108	376	3080
109	378	3064
110	380	3045
111	381	3027
112	383	3009
113	384	2990
114	386	2973
115	387	2950
116	388	2929
117	389	2913
118	391	2896
119	392	2879
120	394	2863
121	395	2844
122	396	2827
123	397	2811
124	399	2793
125	400	2778
126	401	2760
127	403	2747
128	405	2735
129	406	2721
130	407	2705
131	409	2690
132	410	2675
133	412	2663
134	413	2651
135	415	2636
136	416	2626
137	418	2613
138	420	2602
139	421	2591
140	423	2580
141	425	2568
142	426	2558
143	428	2547
144	430	2537
145	431	2526
146	433	2516
147	435	2508
148	437	2499
149	439	2491
150	441	2483
151	443	2476
152	446	2469
153	447	2460
154	449	2453
155	452	2446
156	454	2439
157	456	2432
158	458	2425
159	461	2421
160	462	2407
161	464	2401
162	466	2393
163	468	2386
164	470	2380
165	471	2371
166	473	2361
167	475	2353
168	477	2345
169	478	2336
170	480	2330
171	483	2325
172	484	2317
173	486	2310
174	488	2302
175	490	2297
176	492	2290
177	494	2283
178	496	2275
179	497	2267
180	499	2262
181	502	2259
182	505	2255
183	507	2248
184	508	2242
185	510	2235
186	513	2230
187	515	2225
188	517	2220
189	519	2214
190	521	2209
191	523	2204
192	525	2198
193	527	2193
194	529	2186
195	532	2182
196	534	2177
197	536	2172
198	539	2169
199	540	2162
200	542	2155
201	544	2149
202	545	2142
